Date,Utility/Power Pool (NERC Council),Time,Area,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Restoration Time,start_timestamp,restored_timestamp
1/23/00,Duke Power Co. (SERC),8:00 a.m.,South Carolina,Ice Storm,450,133000,12:00 p.m. Jan 28,2000-01-23T08:00:00,2000-01-28T12:00:00
1/29/00,Duke Power Co. (SERC),10:00 p.m.,South Carolina,Ice Storm,300,81000,12:00 p.m. Feb 3,2000-01-29T22:00:00,2000-02-03T12:00:00
1/24/00,Carolina Power & Light (SERC),7:00 p.m.,North Carolina & Northern South Carolina,Ice Storm,960,173000,,2000-01-24T19:00:00,
3/14/00,Alliant Energy (MAIN),9:06 p.m.,Maine,Vandalism,,,,2000-03-14T21:06:00,
3/18/00,El Paso Elec. Co. (MAIN),4:00 p.m.,Texas,Transmission Line Loss,400,100000,5:10 p.m. Mar 18,2000-03-18T16:00:00,2000-03-18T17:10:00
3/18/00,Public Service of New Mexico (WSCC),7:08 p.m.,New Mexico,Transmission Line Loss,1040,500000,7:08 p.m. Mar 18 98% load restored,2000-03-18T19:08:00,
4/1/00,City of Lake Worth Utils (FRCC),,Texas,Transformer Faulted,46,40000-45000,,2000-04-01T00:00:00,
4/1/00,Virginia Power & Electrical Co. (SERC),,Virginia,Relay Malfunction & Fire,143,37000,,2000-04-01T00:00:00,
4/20/00,Independence Electricity Market Operator (NPCC),,,Suspected Sabotage,None,None,,2000-04-20T00:00:00,
5/2/00,Reliant Energy HL&P (ERCOT),4:00 a.m.,"Houston, TX",Severe Weather,,238000,12:00 p.m. May 2,2000-05-02T04:00:00,2000-05-02T12:00:00
5/8/00,Connectiv Power Delivery (MAAC),,Delaware,Energy Conservation,,,,2000-05-08T00:00:00,
5/9/00,Consolidated Edison Co. of New York (NPCC),11:39 a.m.,New York,Energy Conservation,,,11:00 p.m. May 9,2000-05-09T11:39:00,2000-05-09T23:00:00
5/18/00,Commonwealth Edison (MAIN),6:00 p.m.,Illinois,Severe Weather High Wind,,101830,,2000-05-18T18:00:00,
5/21/00,Duke Power (SERC),,North Carolina,Thunder/Lightning,-50,50000,May 22,2000-05-21T00:00:00,2000-05-22T00:00:00
5/24/00,Entergy (SPP),10:15 a.m.,Texas,Voltage Elec Usage,None,Approx. 2 million,10:14 p.m. May 25,2000-05-24T10:15:00,2000-05-25T22:14:00
5/25/00,Duke Power (SERC),10:00 a.m.,North Carolina,Severe Weather,-50,Approx. 100000,6:00 a.m. June 2,2000-05-25T10:00:00,2000-06-02T06:00:00
5/31/00,Arizona Public Serv Co. (WSCC),1:15 a.m.,Arizona,Vandalism,None,None,,2000-05-31T01:15:00,
6/14/00,Calif. Indep. System Operator (WSCC),1:13 p.m.,California,Generating Resources Loss,130,32000,,2000-06-14T13:13:00,
6/14/00,American Electric Power (ECAR),3:45 p.m.,Ohio,Relay Trouble,294,None,,2000-06-14T15:45:00,
6/14/00,Tucson Electric Power (WSCC),3:54 p.m.,Arizona,Tripped Lines Fire,138,40911,5:00 p.m. June 14,2000-06-14T15:54:00,2000-06-14T17:00:00
6/28/00,Virginia Power/North Carolina Power (SERC),5:52 p.m.,Virginia & North Carolina,Line Outages/Switch Fire,175,30500,7:14 p.m. June 28,2000-06-28T17:52:00,2000-06-28T19:14:00
7/3/00,Alaska Elec Light & Power (ASCC),,Alaska,B-phase to ground fault,35,14273,,2000-07-03T00:00:00,
7/20/00,Alabama Power Co (SERC),,Alabama,High winds and thunder,None,160000,,2000-07-20T00:00:00,
8/6/00,Commonwealth Edison (MAIN),4:00 p.m.,Illinois,Severe weather,None,239567,12:00 p.m. August 7,2000-08-06T16:00:00,2000-08-07T12:00:00
8/9/00,Cinergy Corp (ECAR),6:30 p.m.,Ohio,Severe weather,None,92000,11:59 p.m. August 7,2000-08-09T18:30:00,2001-08-07T23:59:00
8/10/00,Alabama Power Co (SERC),9:30 p.m.,Alabama,Severe weather,None,75000,6:00 p.m. August 11,2000-08-10T21:30:00,2000-08-11T18:00:00
8/10/00,Commonwealth Edison Co. (MAIN),,Illinois,Circuit failure/fire,,11000,,2000-08-10T00:00:00,
8/18/00,Duke Power (SERC),6:30 p.m.,North Carolina,Severe weather,500,130000,12:00 p.m. August 20,2000-08-18T18:30:00,2000-08-20T12:00:00
8/28/00,Southern Indiana Gas & Elec (ECAR),11:00 p.m.,Indiana,Tripped line,15,124000,August 28,2000-08-28T23:00:00,2000-08-28T23:00:00
12/16/00,Alabama Power Co. (SERC),11:36 a.m.,"Geneva, Southeast Alabama",Tornado,,60000,6:00 p.m. December 18,2000-12-16T11:36:00,2000-12-18T18:00:00
